2026-07-13 18:57:52 | INFO    | services.logging_config | Reg AI RAP logging initialised. file=C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log file_level=DEBUG console_level=INFO
2026-07-13 18:57:52 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 18:58:03 | INFO    | services.genai_service | GenAI preflight OK. provider=openai base_url=https://genai-sharedservice-americas.pwc.com model=azure.gpt-4o
2026-07-13 18:58:03 | INFO    | services.genai_service | Creating ChatOpenAI. base_url=https://genai-sharedservice-americas.pwc.com model=azure.gpt-4o reasoning_effort=(default) max_tokens=6000
2026-07-13 18:58:33 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 18:58:35 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 18:58:38 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 18:58:40 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 18:58:43 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 18:58:45 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 18:58:48 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 18:59:05 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 18:59:36 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 18:59:36 | INFO    | __main__ | User triggered Generate BRD/FRD. regulation=DORA tier=Tier-2 regulators=['ALL'] client_roles=[]
2026-07-13 18:59:36 | INFO    | orchestrator | Orchestrator initialised. genai_client=configured
2026-07-13 18:59:36 | INFO    | orchestrator | Agent 1 (Regulatory Analysis) invoked. regulation=DORA tier=Tier-2 regulators=['ALL'] client_roles=None parsed_doc=no
2026-07-13 18:59:36 | INFO    | agents.regulatory_analysis_agent | Agent 1 analyze() start. regulation=DORA tier=Tier-2 roles=None has_parsed_doc=False regulators=['ALL']
2026-07-13 18:59:36 | INFO    | services.brd_frd_generator | BRD generator starting 8-call GenAI pipeline (PARALLEL). regulation=DORA tier=Tier-2 context_chars=1294
2026-07-13 18:59:36 | DEBUG   | services.genai_service | LLM call. component=1-3. Executive Summary, Objectives, and Scope regulation=None roles=None context_chars=1294
2026-07-13 18:59:36 | DEBUG   | services.genai_service | LLM call. component=4-6. Stakeholders, Current State Challenges, and Target State Overview regulation=None roles=None context_chars=1294
